show_id,type,title,director,cast,country,release_year,rating,duration,listed_in,language,imdb_score,rotten_tomatoes_score,date_added,budget_millions,views_millions,revenue_millions,user_rating,number_of_reviews,episodes,average_episode_duration,production_house,age_certification,awards_won,awards_nominated,is_netflix_original,popularity_score,trending_rank,content_warning,subtitle_languages,audio_languages,hdr_available,uhd_available,mobile_downloads,offline_viewing
s1,Movie,The Last The Old Guard: Reloaded,Director 1144,"Actor 1680, Actor 8936, Actor 1425, Actor 9675, Actor 6913, Actor 521, Actor 489, Actor 1536, Actor 3583, Actor 3812, Actor 8280, Actor 9864",Netherlands,2008,TV-14,80 min,International Movies,Portuguese,6.1,46.9,2018-07-03,20.8,208.5,38.9,4.5,142873,,,Production Co. 430,TV-14,14,57,False,35.7,,,11,23,False,False,False,True
s2,TV Show,The Umbrella Academy: The Reckoning,Director 793,"Actor 5636, Actor 9892, Actor 4334, Actor 712, Actor 7528, Actor 8786",Indonesia,2023,G,3 Seasons,TV Dramas,Dutch,6.8,3.3,2020-04-05,84.1,982.3,60.9,5.0,20676,21.0,33 min,Production Co. 850,G,40,79,False,57.4,361.0,,15,25,False,True,True,True
s3,TV Show,Secrets of the The Diplomat Returns,Director 3033,"Actor 3433, Actor 4375, Actor 1170, Actor 9981, Actor 2804, Actor 8752",Ireland,2023,TV-Y7-FV,3 Seasons,"Horror Movies, Docuseries",Mandarin,6.1,66.1,2017-10-28,119.3,622.5,461.5,4.9,99491,12.0,74 min,Production Co. 656,TV-Y7-FV,35,35,False,36.1,,Drug Use,53,2,False,False,False,True
s4,Movie,Legend of Ma Rainey's Black Bottom Returns,Director 4090,"Actor 7518, Actor 2341, Actor 4340, Actor 2288, Actor 4041, Actor 9198, Actor 8831",Argentina,2019,NR,170 min,"TV Sci-Fi & Fantasy, TV Horror, TV Comedies",Polish,5.7,41.0,2018-05-20,98.7,447.1,24.2,4.5,57513,,,Production Co. 142,NR,32,63,True,92.9,,Adult Content,41,6,False,True,False,False
s5,TV Show,Legend of Avatar: The Last Airbender: A New Beginning,Director 939,"Actor 8798, Actor 4372, Actor 5574, Actor 1828, Actor 4809, Actor 7124, Actor 2592, Actor 7434, Actor 54, Actor 4316, Actor 8202",Denmark,2012,NC-17,7 Seasons,"Medical Dramas, Cult Movies",Dutch,7.7,93.9,2023-08-18,153.0,811.8,400.6,5.0,78255,24.0,47 min,Production Co. 624,NC-17,12,19,False,89.1,,,60,17,True,False,False,True
s6,Movie,Secrets of the The Old Guard: The Final Chapter,Director 475,"Actor 9296, Actor 1291, Actor 1404, Actor 7963",Spain,1993,G,201 min,Fantasy Series,Korean,10.0,20.3,2018-09-07,149.9,0.1,0.0,5.0,32987,,,Production Co. 132,G,30,70,True,52.4,447.0,Drug Use,60,18,True,False,False,False
s7,Movie,Legend of All Quiet on the Western Front: Reloaded,Director 525,"Actor 345, Actor 9639, Actor 9076, Actor 3771, Actor 9642, Actor 3609",Ireland,2022,R,219 min,Comedies,Turkish,9.4,18.5,2018-07-09,308.2,1341.8,486.2,3.5,15453,,,Production Co. 235,R,4,4,False,183.5,122.0,Sexual Content,14,18,True,False,True,False
s8,Movie,Chronicles of The School for Good and Evil 14 Returns,Director 3368,"Actor 888, Actor 1613, Actor 994, Actor 6597, Actor 5560, Actor 1791, Actor 4074, Actor 3140",Nigeria,2004,Unrated,188 min,"Fantasy Series, TV Thrillers",English,5.8,20.4,2020-09-30,286.4,1333.3,186.5,3.3,36767,,,Production Co. 433,Unrated,11,35,False,126.4,473.0,,56,28,True,True,True,True
s9,Movie,Chronicles of I Care a Lot,Director 3286,"Actor 961, Actor 2698, Actor 6210, Actor 36, Actor 6397, Actor 4346, Actor 7455, Actor 4674, Actor 6931, Actor 9106, Actor 7974, Actor 2537, Actor 3112, Actor 4862, Actor 3567",South Africa,2011,TV-G,172 min,Fantasy Series,Finnish,6.5,58.2,2018-05-25,86.8,510.7,38.2,4.2,15999,,,Production Co. 766,TV-G,20,20,True,76.3,258.0,Smoking,11,2,True,True,True,True
s10,TV Show,Return of Bridgerton 19: Reloaded,Director 4871,Actor 1344,Philippines,2023,TV-Y,4 Seasons,"Legal Dramas, Teen TV Shows, Romantic Movies, LGBTQ Movies",Malay,6.1,94.1,2022-06-29,43.7,457.8,297.0,3.3,82381,11.0,31 min,Production Co. 406,TV-Y,8,38,False,52.8,385.0,Violence,30,20,True,True,True,False
